id,make,model,currency,price,millage,year,promoted,sold,created_on,dealer
11694081508699580,BMW,640,BGN,53999,170000,2014,true,false,2023-10-27,DEALER
21662450707731623,Porsche,Macan,BGN,59999,154000,2015,true,false,2023-10-27,DEALER
21663399444767059,Audi,SQ5,BGN,39999,171000,2014,true,false,2023-10-27,DEALER
11698399541549361,Peugeot,407,BGN,7200,181520,2007,true,false,2023-10-27,DEALER
11658916528849906,Mercedes-Benz,C,BGN,29580,193995,2014,true,false,2023-10-27,DEALER
11697135136552577,Audi,A3,BGN,12990,189000,2009,true,false,2023-10-27,DEALER
21684765003487422,Nissan,Qashqai,BGN,14999,160310,2011,true,false,2023-10-27,DEALER
11698332296925507,Fiat,Sedici,BGN,6950,160711,2009,true,false,2023-10-27,DEALER
11681887348744234,Hyundai,Sonata,BGN,36000,66561,2019,true,false,2023-10-27,DEALER
21696591236465150,VW,Touareg,BGN,27999,212000,2011,true,false,2023-10-27,DEALER
11675355983908937,Toyota,Auris,BGN,34960,53316,2018,true,false,2023-10-27,DEALER
21698396845607909,VW,Tiguan,BGN,22800,230466,2012,true,false,2023-10-27,DEALER
11694446042719271,Honda,Fr-v,BGN,8400,181000,2008,true,false,2023-10-27,DEALER
11689873326935705,Audi,A7,BGN,116000,70000,2019,true,false,2023-10-27,DEALER
21683537218262393,Honda,Cr-v,BGN,11600,164500,2007,true,false,2023-10-27,DEALER
21693828224557651,VW,Touareg,BGN,9099,280000,2004,true,false,2023-10-27,DEALER
11697731259562215,Audi,A3,BGN,3990,214000,2001,true,false,2023-10-27,DEALER
11691838299125245,Renault,Megane,BGN,15999,220000,2016,true,false,2023-10-27,DEALER
11694695144757480,VW,Golf,BGN,32660,117259,2018,true,false,2023-10-27,DEALER
11691839098163761,Peugeot,308,BGN,4499,192000,2008,true,false,2023-10-27,DEALER
21697820971655285,VW,Tiguan,BGN,49850,90000,2019,true,true,2023-10-27,PRIVATE
21697820971655285,VW,Tiguan,BGN,49850,90000,2019,true,true,2023-10-27,PRIVATE
11697551155571383,Audi,A4,BGN,17000,27000,2009,true,true,2023-10-27,PRIVATE
11695153444270165,BMW,320,BGN,4999,270000,2004,true,true,2023-10-27,PRIVATE
11697902386390953,BMW,330,BGN,10500,350000,2004,true,true,2023-10-27,PRIVATE
11697901321778210,BMW,525,BGN,2700,268932,1998,true,true,2023-10-27,PRIVATE
11692774305813688,Citroen,C4,BGN,12000,160000,2011,true,true,2023-10-27,PRIVATE
11696614592558847,Honda,Jazz,BGN,14300,135000,2011,true,true,2023-10-27,PRIVATE
21693813588416877,Hyundai,Santa,BGN,35990,60500,2017,true,true,2023-10-27,PRIVATE
11695997794776272,Mazda,6,BGN,22500,246000,2016,true,true,2023-10-27,PRIVATE
11698155001963885,Mercedes-Benz,C,BGN,10970,226000,2008,true,true,2023-10-27,PRIVATE
11698155672686720,Mercedes-Benz,C,BGN,10970,226000,2008,true,true,2023-10-27,PRIVATE
11683661350290232,Mercedes-Benz,E,BGN,69888,200000,2018,true,true,2023-10-27,PRIVATE
11678291386297108,Opel,Astra,BGN,5500,180000,2006,true,true,2023-10-27,PRIVATE
11697913948613279,Seat,Leon,BGN,14800,211400,2013,true,true,2023-10-27,PRIVATE
11695809128468123,Skoda,Superb,BGN,39650,193450,2020,true,true,2023-10-27,PRIVATE
11697380782770193,Skoda,Superb,BGN,42300,199999,2021,true,true,2023-10-27,PRIVATE
11696787040680717,Skoda,Superb,BGN,44500,175300,2020,true,true,2023-10-27,PRIVATE
11697811258912097,Toyota,Avensis,BGN,14800,206090,2010,true,true,2023-10-27,PRIVATE
11693139392695286,Audi,A3,BGN,3500,203000,1997,false,true,2023-10-27,PRIVATE
11696577346392326,Audi,A3,BGN,5800,240000,2003,false,true,2023-10-27,PRIVATE
11687098848375491,Seat,Leon,BGN,37777,30638,2021,true,false,2023-10-27,PRIVATE
11698158324096615,Audi,A6,BGN,11200,133032,2004,true,false,2023-10-27,PRIVATE
11698397182399353,BMW,535,BGN,25000,210000,2012,true,false,2023-10-27,PRIVATE
11695826075277803,Mercedes-Benz,C,BGN,9499,282000,2008,true,false,2023-10-27,PRIVATE
11698382495357840,Mercedes-Benz,E,BGN,7999,340,2004,true,false,2023-10-27,PRIVATE
11698392750977801,Audi,A7,BGN,47900,173000,2016,true,false,2023-10-27,PRIVATE
21686473076393054,Mercedes-Benz,ML,BGN,47000,149500,2014,true,false,2023-10-27,PRIVATE
21684576134210723,Mercedes-Benz,GLA,BGN,38500,128000,2015,true,false,2023-10-27,PRIVATE
21698327161467625,Ford,Maverick,BGN,3500,200000,1994,true,false,2023-10-27,PRIVATE
11694439908428988,Audi,A3,BGN,10500,193000,2009,true,false,2023-10-27,PRIVATE
